MId,Text,PictureList,LikeCount,CommentCount,RepostCount,BlogUser,Source,StatusCity,StatusCountry,CreatedAt
5040865884244044,"原来e人和i人这么容易区分，e人在火锅店过生日，店员3对1都没赢。大家觉得社恐/内向的人/i人该不该走出舒适区？ <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%BD%93%E7%A4%BE%E6%81%90%E8%BF%87%E7%94%9F%E6%97%A5%E9%81%87%E4%B8%8A%E7%A4%BE%E7%89%9B%E6%9C%8B%E5%8F%8B%23&extparam=%23%E5%BD%93%E7%A4%BE%E6%81%90%E8%BF%87%E7%94%9F%E6%97%A5%E9%81%87%E4%B8%8A%E7%A4%BE%E7%89%9B%E6%9C%8B%E5%8F%8B%23"" data-hide=""""><span class=""surl-text"">#当社恐过生日遇上社牛朋友#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E7%94%84%E5%AC%9B%E4%BC%A0%E7%BB%88%E4%BA%8E%E8%A2%AB%E5%BC%80%E5%8F%91%E5%88%B0%E7%94%9F%E8%BE%B0%E5%AE%B4%E4%BA%86%23&extparam=%23%E7%94%84%E5%AC%9B%E4%BC%A0%E7%BB%88%E4%BA%8E%E8%A2%AB%E5%BC%80%E5%8F%91%E5%88%B0%E7%94%9F%E8%BE%B0%E5%AE%B4%E4%BA%86%23"" data-hide=""""><span class=""surl-text"">#甄嬛传终于被开发到生辰宴了#</span></a> <a  href=""https://video.weibo.com/show?fid=1034:5040865375354906"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">帝吧官微的微博视频</span></a> ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,帝吧超话,宁波,中国,Sun Jun 02 17:12:24 +0800 2024
5040895713349931,"奔驰E级长轴插混版上市  6月1日，在2024粤港澳大湾区车展上，北京奔驰E级长轴距版插电混动车型正式上市，新车官方名称定为奔驰E级E 350 e L，售价为53.86万元。  车身尺寸方面，新车长宽高分别为5092/1880/1489mm，轴距为3094mm，定位插混中大型车型。  内饰部分，新车配备全液晶仪表和大尺寸全新MBUX ...<a href=""/status/5040895713349931"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,微博网页版,唐山,中国,Sun Jun 02 19:10:56 +0800 2024
5040865313558309,"<a  href=""https://m.weibo.cn/p/index?extparam=%E9%97%AA%E8%80%80%E6%9A%96%E6%9A%96&containerid=1008080adacb5621aef3290d9fa38b7ced8ab0"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">闪耀暖暖</span></a> 本次宣传图扒妆 p1:Nikki-83rqbpn7iRiQ3S p2:Nikki-2AW06fjXSIc2vm p3:Nikki-16e2wX6dLWEtX2 不保证百分百正确，欢迎大家友好讨论 <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%97%AA%E8%80%80%E6%9A%96%E6%9A%96%E5%88%9D%E9%9B%AA%E6%94%BB%E7%95%A5%E7%BB%84%E6%89%92%E5%A6%86%23&extparam=%23%E9%97%AA%E8%80%80%E6%9A%96%E6%9A%96%E5%88%9D%E9%9B%AA%E6%94%BB%E7%95%A5%E7%BB%84%E6%89%92%E5%A6%86%23"" data-hide=""""><span class=""surl-text"">#闪耀暖暖初雪攻略组扒妆#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%97%AA%E8%80%80%E6%9A%96%E6%9A%96%E6%98%9F%E4%BA%91%E8%BD%AC%E8%BD%AC%E8%A3%99%23&extparam=%23%E9%97%AA%E8%80%80%E6%9A%96%E6%9A%96%E6%98%9F%E4%BA%91%E8%BD%AC%E8%BD%AC%E8%A3%99%23"" data-hide=""""><span class=""surl-text"">#闪耀暖暖星云转转裙#</span></a> ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,闪耀暖暖超话,成都,中国,Sun Jun 02 17:10:08 +0800 2024
5040869877220999,"来几位大🐻妹子帮做个测✍️评！ 两个要求： 1-基本的穿着拍照（正面、侧面、背面） 2-穿着感受描写（承托力、包裹力、日常、跑跳）  【需要四位测✍️评官】 第一位（M码）下围70-77内，D cup内 第二位（L码）下围78-85内，D cup+ 第三位（XL码）下围85-90内，E cup左右 第四位（2XL码）下围88-96内 ...<a href=""/status/5040869877220999"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,,南宁,中国,Sun Jun 02 17:28:16 +0800 2024
5040891896529537,『【AI图包】穿越火线 云悠悠 84P 1.31GB | 初音社』<a href='https://www.mikuclub.win/1100578?continueFlag=f23ff466ae143b3f5c7f3f35862e4766' data-hide=''><span class='url-icon'><img style='width: 1rem;height: 1rem' src='//h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span> <span class='surl-text'>网页链接</span></a> ,<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,OPPO Reno8 Pro 5G,杭州,中国,Sun Jun 02 18:55:46 +0800 2024
5040891454819270,"双打也乏善可陈<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B3%95%E7%BD%912024%23&extparam=%23%E6%B3%95%E7%BD%912024%23"" data-hide=""""><span class=""surl-text"">#法网2024#</span></a> 【自制HL】2024法网R1 E·纳瓦罗VS施耐德VS张帅/斯蒂恩斯 <a  href=""https://video.weibo.com/show?fid=1034:5040882735317030"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">lezlieGDUFS的微博视频</span></a> ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,微博视频号,广州,中国,Sun Jun 02 18:54:01 +0800 2024
5040890624084264,"<a  href=""https://m.weibo.cn/p/index?extparam=%E5%91%A8%E6%B7%B1&containerid=100808cbec86fbcc1c453633f835c10c9db0ee"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">周深</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%91%A8%E6%B7%B1%E6%BC%94%E5%94%B1%E4%BC%9A%E5%AE%98%E5%AE%A3%E6%AD%A6%E6%B1%89%E5%8D%97%E4%BA%AC%23&extparam=%23%E5%91%A8%E6%B7%B1%E6%BC%94%E5%94%B1%E4%BC%9A%E5%AE%98%E5%AE%A3%E6%AD%A6%E6%B1%89%E5%8D%97%E4%BA%AC%23"" data-hide=""""><span class=""surl-text"">#周深演唱会官宣武汉南京#</span></a> ❤️<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%91%A8%E6%B7%B1+%E7%8E%B0%E5%9C%BAlive%23&extparam=%23%E5%91%A8%E6%B7%B1+%E7%8E%B0%E5%9C%BAlive%23"" data-hide=""""><span class=""surl-text"">#周深 现场live#</span></a>❤️ 深深的声音听到就感觉心安🌸 💓Ꮮ ◎ Ⅴ Ꮛ 最喜欢你💒  ☁ 🌤 ☁  ☁ ☁ ☁ ☁ ☁  ˘世间的温柔，皆如干净的云朵和你 🍚<a href='/n/卡布叻_周深'>@卡布叻_周深</a>🍚 《欢颜》 2 0 2 3 0 8 1 9  I N  B E I J I N G  Cr:ARTIST0929STUDIO  ...<a href=""/status/5040890624084264"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,周深超话,上海,中国,Sun Jun 02 18:50:43 +0800 2024
5040890063619995,"<a  href=""https://m.weibo.cn/p/index?extparam=%E7%AC%AC%E4%BA%94%E4%BA%BA%E6%A0%BC&containerid=1008088fef4f8eac269bed1cd09eb50312ce52"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">第五人格</span></a>车队3=1（长期的），目前缺ob位，卡v麦  没压力且心态超棒的！都是现四阶的，如果觉得状态不好也可以只打打低保，除了排位还可以一起匹配娱乐  希望是个e人，平时大家都会一起唠唠嗑分享日常生活什么的，蹲<span class=""url-icon""><img alt=[羞嗒嗒] src=""https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiudada-e99552ddb3.png"" style=""width:1em; height:1em;"" /></span> ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,第五人格超话,,中国,Sun Jun 02 18:48:29 +0800 2024
