MId,Text,PictureList,LikeCount,CommentCount,RepostCount,BlogUser,Source,StatusCity,StatusCountry,CreatedAt
5040856841323249,"S1E3 重刷这集感觉剧情一般，水鬼这个设定中规中矩(也是老套路了)剧情推动利用丁讲述自己经历共情的办法 发现阴阳怪气的米温彻一枚，米好像很乐意看到哥害羞 p4,5其实很适合隐喻剧情埋伏笔(剩余为镜头台词定位) ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,Android,商丘,中国,Sun Jun 02 16:36:28 +0800 2024
5040854097467392,&lt;乔堇颜阎君陌&gt;&lt;顾兰音陆行舟&gt;&lt;谢青黎慕宸&gt;  &lt;云栀墨凌泽&gt;&lt;炮灰自救指南&gt;&lt;虞幼绵谢为菘&gt;  &lt;钟晚意时屿白&gt;&lt;江清婉顾砚怀&gt;&lt;温浅薄晏亭&gt;  &lt;沈婉瑜傅穆承&gt;&lt;舒宁琬靳寒翎&gt;&lt;凌薇君墨寒&gt;  &lt;夏星语靳南&gt;&lt;桑染陆辞&gt;&lt;季暖裴行舟&gt;  &lt;宋雪莉冯宇轩&gt;&lt;我死后，总裁疯了&gt;&lt;叶南星阮京州&gt; 小说IA8A1E ,<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,读书无界超话,南昌,中国,Sun Jun 02 16:25:34 +0800 2024
5040852416857766,1/6/2024. 跟一群极致e人 一起过了一个颠颠的六一🤪 ,<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,,南平,中国,Sun Jun 02 16:18:53 +0800 2024
5040852014204951,"本轮旅行的一些碎碎念： 1️⃣北方人真的好e啊，北京和天津都是，但是热情得让人很舒服很快乐，本i人只想加入他们<span class=""url-icon""><img alt=[偷乐] src=""https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_toule-244c58c525.png"" style=""width:1em; height:1em;"" /></span> 2️⃣帝都不愧是帝都，方方面面都很好，我超爱<span class=""url-icon""><img alt=""[彩虹屁]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4b/2022_praise_org.png"" style=""width:1em; height:1em;"" /></span> 3️⃣被天安门和故宫的历史意义和建筑风格深深吸引大概是我这种纯正中国人的宿命，见到的第一眼真的有种DNA动了的感觉，扑 ...<a href=""/status/5040852014204951"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,HUAWEI Pura 70 Pro+,广州,中国,Sun Jun 02 16:17:17 +0800 2024
5040851453744509,e姐回复比我刷的还快，我可是赫老师金粉1，我都没看到。姐你也别太爱了吧。。。 ,<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,HUAWEI Pura 70 Pro+,厦门,中国,Sun Jun 02 16:15:04 +0800 2024
5040851057640384,"我在<a  href=""https://m.weibo.cn/p/index?extparam=%E7%BD%97%E4%BA%91%E7%86%99&containerid=100808acf866e449eb50879a948c2c94b1b623"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">罗云熙</span></a>抽到了SR卡“云上川行限定”，快来试试你的手气如何！<a  href=""https://m.weibo.cn/c/wbox?id=c0p9sg9tw9&book_id=519&page=pages/sgcards/"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">网页链接</span></a>罗云熙lotterycard&amp;page_id=100808acf866e449eb50879a948c2c94b1b623 ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,罗云熙超话,衢州,中国,Sun Jun 02 16:13:29 +0800 2024
5040850380000919,#河北工程大学[超话]# 1e自取 ,<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,河北工程大学超话,邯郸,中国,Sun Jun 02 16:10:48 +0800 2024
5040850269372553,"IQOO12搭载骁龙8gen3移动平台，自研电竞芯片Q1，2K E7 144Hz屏幕，5100*mAh，120w有线＋50w无线充电，超声波指纹解锁，相机也够用，主要是降价后性价比很高啊。<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23vivo%23&isnewpage=1"" data-hide=""""><span class=""surl-text"">#vivo#</span></a> ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,Android,大连,中国,Sun Jun 02 16:10:20 +0800 2024
5040847739946150,"i人和e人什么意思 &quot; i人&quot;和&quot;e人&quot;分别对应MBTI人格测试中的两种大类型，其中&quot;i人&quot;指性格内敛的人，而&quot;e人&quot;指性格外向的人。1  这两种类型的区别主要在于他们的社交需求和对独处的态度。&quot;i人&quot;更倾向于独处，享受一个人的时光，可能在社交场合中比较安静，有时甚至被戏称为&quot;社恐&quot;。相反，&quot;e人&quot;则 ...<a href=""/status/5040847739946150"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,微博网页版,武汉,中国,Sun Jun 02 16:00:18 +0800 2024
5040846816414096,"方向盘🛞记录： P1/2 奔驰MPV｜保姆车，奶爸车，做一家人的司机也很不错的感觉，航空座椅坐起来超舒服，分分钟睡着； P3/4 奔驰E｜40岁的我希望可以开得起，开不起就50再开； P5/6 阿维塔12｜这次车展了解最久，也是最深入的车型，唯二加了销售微信的。这个国产原创品牌有很多令人耳目一新的小设计， ...<a href=""/status/5040846816414096"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,iPhone客户端,深圳,中国,Sun Jun 02 15:56:38 +0800 2024
