MId,Text,PictureList,LikeCount,CommentCount,RepostCount,BlogUser,Source,StatusCity,StatusCountry,CreatedAt
5040875824746007,"【自证+公告】 小🍠同名：kiro全宇宙编辑部 大噶好！我是kiro全宇宙编辑部其中一名也是唯一一名成员小e，欢迎大家来到kiro全宇宙编辑部！ 本账号暂定运营模式为： 以约会为单位，将内容浓缩成三个关键词分析。频率约为每周1-2更，下一期投票内容将在🍠结合plq推荐进行推出＞＜ 声明： 本账号为纯为 ...<a href=""/status/5040875824746007"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,iQOO Neo6 SE竞速标杆,广州,中国,Sun Jun 02 17:51:54 +0800 2024
5040874825975663,e人的充电模式 有我喜欢的亲戚过来做客 真的 我好久没人跟我聊天了 e人急需充电 现在他们离开了 我有点kind of lonely(躺平)  聊了下他们参加婚礼的事情 刮刮乐 抽奖之类的哈哈哈 我还收到了小红包 还有软糖 (软糖 这一点我疯狂加分)  今天还停水了 但提前了1h来水了哈哈哈 就很奈斯 ,<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,Redmi Note 11 Pro,惠州,中国,Sun Jun 02 17:47:56 +0800 2024
5040872066909605,"<a  href=""https://m.weibo.cn/p/index?extparam=%E9%B9%85%E9%B8%AD%E6%9D%80&containerid=1008089f1507ae275c9096999bd031d05fe0e3"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">鹅鸭杀</span></a> e1y4jtv超级金水铃 ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,鹅鸭杀超话,大连,中国,Sun Jun 02 17:36:58 +0800 2024
5040869472469669,"真美帝  还合唱了成都，美帝姐你们真的好爱 13 是你二蕾呀（到达重庆版）发布了一篇小红书笔记，快来看吧！ 😆 E9OB1fuodPawgFk 😆 <a  href=""https://weibo.cn/sinaurl?u=http%3A%2F%2Fxhslink.com%2FOTK28K"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">网页链接</span></a>，复制本条信息，打开【小红书】App查看精彩内容！ ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,所愿皆成真,大同,中国,Sun Jun 02 17:26:39 +0800 2024
5040837605984486,韩国那个关注度很大的世纪离婚案宣判了！  会长崔泰源向卢素英分割1.38万亿韩元财产，赔偿精神损失费20亿韩元。  首尔高等法院：&quot;崔泰源向卢素英赔偿精神损失费20亿韩元，财产分割1.3808万亿韩元，法院终于站在正义的一方了”折合rmb 73e！ ,<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,iPhone 15,铜川,中国,Sun Jun 02 15:20:02 +0800 2024
5040870826971289,S1E4 本集开头阿克斯曲线，丁枕头底下放武器设定 cosplay完善中，第一次变装 恶魔出场，设定完善中…… 感觉飞机上的丁跟黄热病丁是一样的😋 ,<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,Android,商丘,中国,Sun Jun 02 17:32:03 +0800 2024
5040821885206965,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E8%8B%8F%E6%89%93%E7%BB%BF%E4%BA%8C%E5%8D%81%E5%B9%B4%E4%B8%80%E5%88%BB%E5%B7%A1%E5%9B%9E%E6%BC%94%E5%94%B1%E4%BC%9A%23&extparam=%23%E8%8B%8F%E6%89%93%E7%BB%BF%E4%BA%8C%E5%8D%81%E5%B9%B4%E4%B8%80%E5%88%BB%E5%B7%A1%E5%9B%9E%E6%BC%94%E5%94%B1%E4%BC%9A%23"" data-hide=""""><span class=""surl-text"">#苏打绿二十年一刻巡回演唱会#</span></a>  深圳站0602应援已准备就绪！欢迎大家来找我们玩！  📍发放＆打卡＆抽奖地点：星巴克臻选(深圳湾睿印店)  *发放&amp;抽奖&amp;签横幅在2楼，打卡1楼2楼皆有 🗺️11号线/9号线 红树湾南站E口步行约100米      2号线 红树湾站B口步行约500米  ⏰发放&amp;打卡时间：14:00-17:30 ‼ ...<a href=""/status/5040821885206965"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,吴青峰超话,深圳,中国,Sun Jun 02 14:17:33 +0800 2024
5040868702292232,"BV11x4y1E7HD 卡IP成功<span class=""url-icon""><img alt=[酷] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_ku-774d16f5ce.png"" style=""width:1em; height:1em;"" /></span>深圳拜拜～👋",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,将周深私有iPhone 15 Pro Max,深圳,中国,Sun Jun 02 17:23:36 +0800 2024
5040781543080312,"<a  href=""https://m.weibo.cn/p/index?extparam=%E9%87%91%E9%92%9F%E4%BB%81&containerid=100808c8821d7a320920f101333b3fca04c28a"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">金钟仁</span></a>  【6年前的今天】180602 The EℓyXiOn in HK Day1   1️⃣2️⃣boomerang 3️⃣sweet lies 4️⃣touch it 5️⃣lotto 6️⃣run this 7️⃣diamond 8️⃣power 9️⃣walk on memories  都是值得反复观看的舞蹈直拍，永远是金钟仁的舞台饭<span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png"" style=""width:1em; height:1em;"" /></span>（678都是冷脸，动作力度超大，真的一个动作 ...<a href=""/status/5040781543080312"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,金钟仁超话,南京,中国,Sun Jun 02 11:37:15 +0800 2024
5040864858736705,本e人必须社交出门，上班才是真正的休息+1,<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,HarmonyOS设备,,中国,Sun Jun 02 17:08:20 +0800 2024
